0	0.601652	-nan	47	-nan	-nan	nan	-1	-1	2
1769	0.601652	48.0945	47	1.02329	0.0264798	0.0272024	-1	-1	3
1771	0.601652	54.3443	47	1.15626	-0.0181713	0.025803	-1	-1	3
1774	0.601652	42.7232	47	0.909004	-0.0566968	0.0245845	-1	-1	3
1783	0.601652	38.1696	47	0.812119	-0.0270656	0.025526	-1	-1	3
1825	0.601652	56.7786	47	1.20806	0.0691425	0.0287152	-1	-1	3
1827	0.601652	57.1465	47	1.21588	0.0751387	0.0288347	-1	-1	3
1830	0.601652	56.7756	47	1.20799	0.0903366	0.0293247	-1	-1	3
1834	0.601652	54.0229	47	1.14942	0.0398547	0.0277319	-1	-1	3
1836	0.601652	61.2743	47	1.30371	0.077278	0.0289868	-1	-1	3
1839	0.601652	20.3093	47	0.432113	-0.00752566	0.0260845	-1	-1	3
1841	0.601652	43.6876	47	0.929523	0.0488464	0.0279591	-1	-1	3
